GO ID	Reactome Verb
0047372	hydrolyses
0047498	hydrolyses
0047555	hydrolyses
0047977	hydrolyses
0050253	hydrolyses
0070290	hydrolyses
0070774	hydrolyses
0000170	hydroxylates
0008389	hydroxylates
0008395	hydroxylates
0008396	hydroxylates
0008401	hydroxylates
0030342	hydroxylates
0030343	hydroxylates
0033778	hydroxylates
0033781	hydroxylates
0004861	inhibits
0004862	inhibits
0004867	inhibits
0030617	inhibits
0003743	initiates
0032977	inserts
0008907	integrates
0003755	isomerises
0003756	isomerises
0003978	isomerises
0004165	isomerises
0004347	isomerises
0004452	isomerises
0004476	isomerises
0004493	isomerises
0004494	isomerises
0004610	isomerises
0004614	isomerises
0004615	isomerises
0004619	isomerises
0004744	isomerises
0004750	isomerises
0004751	isomerises
0004769	isomerises
0004807	isomerises
0008111	isomerises
0009881	isomerises
0009882	isomerises
0016034	isomerises
0016859	isomerises
0046523	isomerises
0046537	isomerises
0047470	isomerises
0047757	isomerises
0050251	isomerises
0050379	isomerises
0047376	isomerohydrolyses
0047520	isomerohydrolyses
0052884	isomerohydrolyses
0003909	ligates
0003987	ligates
0004329	ligates
0004356	ligates
0004357	ligates
0004467	ligates
0004632	ligates
0004637	ligates
0004641	ligates
0004775	ligates
0004776	ligates
0004813	ligates
0004814	ligates
0004815	ligates
0004816	ligates
0004817	ligates
0004818	ligates
0004819	ligates
0004820	ligates
0004821	ligates
0004822	ligates
0004823	ligates
0004824	ligates
0004825	ligates
0004826	ligates
0004827	ligates
0004828	ligates
0004829	ligates
0004830	ligates
0004831	ligates
0004832	ligates
0016405	ligates
0016874	ligates
0019787	ligates
0034450	ligates
0035446	ligates
0050197	ligates
0070251	ligates
0072590	ligates
0003906	lyses
0004018	lyses
0004056	lyses
0004123	lyses
0004397	lyses
0004419	lyses
0016830	lyses
0016831	lyses
0016846	lyses
0030412	lyses
0047982	lyses
0070626	lyses
0080146	lyses
0016274	methylates
0035539	mono-dephosphorylates
0044713	mono-dephosphorylates
0044714	mono-dephosphorylates
0003684	O-demethylates
0000254	oxidises
0001716	oxidises
0003884	oxidises
0003997	oxidises
0004031	oxidises
0004109	oxidises
0004129	oxidises
0004322	oxidises
0004720	oxidises
0004729	oxidises
0004733	oxidises
0004855	oxidises
0008131	oxidises
0008482	oxidises
0008891	oxidises
0009815	oxidises
0016175	oxidises
0016402	oxidises
0046592	oxidises
0047969	oxidises
0097258	oxidises
0000285	phosphorylates
0000824	phosphorylates
0000825	phosphorylates
0000827	phosphorylates
0000828	phosphorylates
0000829	phosphorylates
0001729	phosphorylates
0003872	phosphorylates
0003873	phosphorylates
0003951	phosphorylates
0004001	phosphorylates
0004017	phosphorylates
0004020	phosphorylates
0004103	phosphorylates
0004111	phosphorylates
0004140	phosphorylates
0004143	phosphorylates
0004168	phosphorylates
0004305	phosphorylates
0004335	phosphorylates
0004340	phosphorylates
0004365	phosphorylates
0004370	phosphorylates
0004385	phosphorylates
0004396	phosphorylates
0004430	phosphorylates
0004454	phosphorylates
0004496	phosphorylates
0004550	phosphorylates
0004594	phosphorylates
0004613	phosphorylates
0004618	phosphorylates
0004631	phosphorylates
0004672	phosphorylates
0004674	phosphorylates
0004675	phosphorylates
0004676	phosphorylates
0004677	phosphorylates
0004679	phosphorylates
0004683	phosphorylates
0004687	phosphorylates
0004689	phosphorylates
0004691	phosphorylates
0004692	phosphorylates
0004693	phosphorylates
0004697	phosphorylates
0004698	phosphorylates
0004703	phosphorylates
